시발역,망양  ,망양  ,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,망양  ,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,,,,,,,,,,,,
종착역,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,망양  ,부전  ,부전  ,망양  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,망양  ,,,,,,,,,,,,
열차번호,K8652,K8654,K8502,K8504,K8656,K8506,K8508,K8510,K8512,K8514,K8516,K8518,K8520,K8658,K8662,K8660,K8524,K8664,K8526,K8528,K8530,K8532,K8534,K8536,K8538,K8540,K8542,K8544,K8546,K8666,K8548,K8550,K8552,K8668,K8554,K8670,K8556,K8558,K8560,K8562,K8564,K8566,K8568,K8570,K8572,K8574,K8576,K8578,K8580,K8582,K8584,K8586,K8672,,,,,,,,,,,,
부산원,06:09:30,06:23:30,06:38:00,06:54:00,07:05:30,07:22:00,07:37:00,07:54:00,08:08:00,08:27:00,08:45:00,09:04:00,09:24:30,09:42:30,        ,10:01:30,10:20:00,        ,10:53:00,11:17:00,11:48:00,12:20:00,12:43:00,13:11:30,13:55:30,14:25:00,14:50:00,15:13:00,15:44:00,16:07:30,16:36:30,17:01:30,17:23:00,17:41:30,17:58:00,18:09:30,18:24:00,18:51:00,19:08:30,19:22:00,19:39:00,19:57:00,20:11:00,20:37:30,20:52:00,21:15:00,21:38:00,22:11:00,22:40:00,23:01:30,23:27:00,00:02:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안락  ,06:12:00,06:26:00,06:40:30,06:56:30,07:08:00,07:24:30,07:39:30,07:56:30,08:10:30,08:29:30,08:47:30,09:06:30,09:27:00,09:45:00,        ,10:04:00,10:22:30,        ,10:55:30,11:19:30,11:50:30,12:22:30,12:45:30,13:14:00,13:58:00,14:27:30,14:52:30,15:15:30,15:46:30,16:10:00,16:39:00,17:04:00,17:25:30,17:44:00,18:00:30,18:12:00,18:26:30,18:53:30,19:11:00,19:24:30,19:41:30,19:59:30,20:13:30,20:40:00,20:54:30,21:17:30,21:40:30,22:13:30,22:42:30,23:04:00,23:29:30,00:04:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동래  ,06:14:00,06:28:00,06:42:30,06:58:30,07:10:00,07:26:30,07:41:30,07:58:30,08:12:30,08:31:30,08:49:30,09:08:30,09:29:00,09:47:00,        ,10:06:00,10:25:00,        ,10:57:30,11:21:30,11:52:30,12:24:30,12:47:30,13:16:00,14:00:00,14:29:30,14:54:30,15:17:30,15:48:30,16:12:00,16:41:00,17:06:00,17:27:30,17:46:00,18:02:30,18:14:00,18:28:30,18:55:30,19:13:00,19:26:30,19:43:30,20:01:30,20:15:30,20:42:00,20:56:30,21:19:30,21:42:30,22:15:30,22:44:30,23:06:00,23:31:30,00:06:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부교대,06:16:30,06:30:30,06:45:00,07:01:00,07:12:30,07:29:00,07:44:00,08:01:00,08:15:00,08:34:00,08:52:00,09:11:00,09:32:00,09:49:30,        ,10:08:30,10:32:30,        ,11:00:00,11:28:30,11:55:00,12:27:00,12:50:00,13:18:30,14:02:30,14:32:00,14:57:00,15:24:30,15:51:00,16:14:30,16:43:30,17:08:30,17:30:00,17:48:30,18:05:00,18:16:30,18:31:00,18:58:00,19:15:30,19:29:00,19:46:00,20:04:00,20:18:00,20:44:30,20:59:00,21:22:00,21:45:00,22:18:00,22:51:30,23:08:30,23:38:30,00:09:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거제  ,06:18:00,06:32:00,06:46:30,07:02:30,07:14:00,07:30:30,07:45:30,08:02:30,08:16:30,08:35:30,08:53:30,09:12:30,09:33:30,09:51:00,        ,10:10:00,10:34:00,        ,11:01:30,11:30:00,11:56:30,12:28:30,12:51:30,13:20:00,14:04:00,14:33:30,14:58:30,15:26:00,15:52:30,16:16:00,16:45:00,17:10:00,17:31:30,17:50:00,18:06:30,18:18:00,18:32:30,18:59:30,19:17:00,19:30:30,19:47:30,20:05:30,20:19:30,20:46:00,21:00:30,21:23:30,21:46:30,22:19:30,22:53:00,23:10:00,23:40:00,00:10:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거제해,06:20:00,06:34:00,06:48:30,07:04:30,07:16:00,07:32:30,07:47:30,08:04:30,08:18:30,08:37:30,08:55:30,09:14:30,09:35:30,09:53:00,        ,10:12:00,10:36:00,        ,11:03:30,11:32:00,11:58:30,12:30:30,12:53:30,13:22:00,14:06:00,14:35:30,15:00:30,15:28:00,15:54:30,16:18:00,16:47:00,17:12:00,17:33:30,17:52:00,18:08:30,18:20:00,18:34:30,19:01:30,19:19:00,19:32:30,19:49:30,20:07:30,20:21:30,20:48:00,21:02:30,21:25:30,21:48:30,22:21:30,22:55:00,23:12:00,23:42:00,00:12:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부전  ,06:23:30,06:37:30,06:52:00,07:08:00,07:19:30,07:36:00,07:51:00,08:08:00,08:22:00,08:41:00,08:59:00,09:18:00,09:39:00,09:56:30,        ,10:15:30,10:39:30,        ,11:07:00,11:35:30,12:02:00,12:34:00,12:57:00,13:25:30,14:09:30,14:39:00,15:04:00,15:31:30,15:58:00,16:21:30,16:50:30,17:15:30,17:37:00,17:55:30,18:12:00,18:23:30,18:38:00,19:05:00,19:22:30,19:36:00,19:53:00,20:11:00,20:25:00,20:51:30,21:06:00,21:29:00,21:52:00,22:25:00,22:58:30,23:15:30,23:45:30,00:16:00,,,,,,,,,,,,,
,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,        ,        ,,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,,,,,,,,,,,,
