시발역,망양  ,부전  ,망양  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,,,,,,,,,,,,,
종착역,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,망양  ,,,,,,,,,,,,,
열차번호,K8651,K8501,K8653,K8503,K8505,K8507,K8509,K8655,K8511,K8513,K8515,K8517,K8519,K8521,K8523,K8525,K8657,K8527,K8529,K8531,K8659,K8533,K8535,K8537,K8539,K8541,K8543,K8545,K8547,K8549,K8551,K8553,K8555,K8557,K8559,K8561,K8563,K8565,K8567,K8569,K8571,K8573,K8575,K8577,K8579,K8581,K8661,K8583,K8585,K8587,K8589,K8663,,,,,,,,,,,,,
서생  ,        ,6:28:30,        ,6:53:00,7:05:30,7:23:30,7:38:30,7:57:30,8:08:30,8:36:30,8:50:00,9:01:30,9:16:30,9:33:30,9:48:30,10:08:00,10:22:00,10:42:00,11:02:30,11:22:30,11:49:00,12:11:30,12:44:00,13:13:30,13:34:30,14:04:00,14:48:00,15:21:00,15:45:30,16:17:00,16:41:30,17:03:00,17:21:30,17:44:30,18:03:30,18:26:00,18:43:30,18:59:30,19:20:30,19:46:00,20:10:30,20:30:00,20:50:30,21:05:30,21:22:30,21:43:00,22:01:30,22:23:30,22:53:30,23:25:30,23:51:30,0:17:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남창  ,        ,6:36:00,        ,7:00:30,7:13:00,7:31:00,7:46:00,8:05:00,8:16:00,8:44:00,8:57:30,9:09:00,9:24:00,9:41:00,9:56:00,10:15:30,10:29:30,10:49:30,11:10:00,11:30:00,11:56:30,12:19:00,12:51:30,13:21:00,13:42:00,14:11:30,14:55:30,15:28:30,15:53:00,16:24:30,16:49:00,17:10:30,17:29:00,17:52:00,18:11:00,18:33:30,18:51:00,19:07:00,19:28:00,19:53:30,20:18:00,20:37:30,20:58:00,21:13:00,21:30:00,21:50:30,22:09:00,22:31:00,23:01:00,23:33:00,23:59:00,0:25:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
망양  ,4:50:00,6:40:30,5:10:00,7:05:00,7:17:30,7:35:30,7:50:30,8:09:30,8:20:30,8:48:30,9:02:00,9:13:30,9:28:30,9:45:30,10:00:30,10:20:00,10:34:00,10:54:00,11:14:30,11:34:30,12:01:00,12:23:30,12:56:00,13:25:30,13:46:30,14:16:00,15:00:00,15:33:00,15:57:30,16:29:00,16:53:30,17:15:00,17:33:30,17:56:30,18:15:30,18:38:00,18:55:30,19:11:30,19:32:30,19:58:00,20:22:30,20:42:00,21:02:30,21:17:30,21:34:30,21:55:00,22:13:30,22:35:30,23:05:30,23:37:30,0:03:30,0:29:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕하  ,5:54:00,6:45:00,6:14:00,7:09:30,7:22:00,7:40:00,7:55:00,        ,8:29:30,8:53:00,9:06:30,9:18:00,9:33:00,9:50:00,10:05:00,10:24:30,        ,10:58:30,11:19:00,11:39:00,        ,12:28:00,13:00:30,13:30:00,13:51:00,14:20:30,15:04:30,15:37:30,16:02:00,16:33:30,17:03:00,17:19:30,17:38:00,18:01:00,18:20:00,18:42:30,19:00:00,19:16:00,19:37:00,20:02:30,20:27:00,20:46:30,21:07:00,21:22:00,21:39:00,21:59:30,        ,22:40:00,23:10:00,23:42:00,0:08:00,        ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개운포,5:57:00,6:48:00,6:17:00,7:12:30,7:25:00,7:43:00,7:58:00,        ,8:32:30,8:56:00,9:09:30,9:21:00,9:36:00,9:53:00,10:08:00,10:27:30,        ,11:01:30,11:22:00,11:42:00,        ,12:31:00,13:03:30,13:33:00,13:54:00,14:23:30,15:07:30,15:40:30,16:05:00,16:36:30,17:06:00,17:22:30,17:41:00,18:04:00,18:23:00,18:45:30,19:03:00,19:19:00,19:40:00,20:05:30,20:30:00,20:49:30,21:10:00,21:25:00,21:42:00,22:02:30,        ,22:43:00,23:13:00,23:45:00,0:11:00,        ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태화강,6:02:00,6:53:00,6:22:00,7:17:30,7:30:00,7:48:00,8:03:00,        ,8:37:30,9:01:00,9:14:30,9:26:00,9:41:00,9:58:00,10:13:00,10:32:30,        ,11:06:30,11:27:00,11:47:00,        ,12:36:00,13:08:30,13:38:00,13:59:00,14:28:30,15:12:30,15:45:30,16:10:00,16:41:30,17:11:00,17:27:30,17:46:00,18:09:00,18:28:00,18:50:30,19:08:00,19:24:00,19:45:00,20:10:30,20:35:00,20:54:30,21:15:00,21:30:00,21:47:00,22:07:30,        ,22:48:00,23:18:00,23:50:00,0:16:00,        ,,,,,,,,,,,,,
,        ,        ,        ,        ,        ,        ,        ,,        ,        ,        ,        ,        ,        ,        ,        ,,        ,        ,        ,,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,        ,        ,        ,        ,,,,,,,,,,,,,,
연계열번,K8506,K8512,K8508,K8514,K8516,K8518,K8520,G8655,K8662,K8524,K8664,K8528,K8526,K8528,W8523,K8530,G8657,K8532,K8534,K8536,G8659,K8538,K8540,K8542,K8544,K8546,K8548,K8550,K8552,K8554,K8556,K8558,K8560,K8562,K8566,K8568,Q8563,K8572,K8574,K8576,W8571,K8578,K8580,Q8577,K8582,K8584,G8661,K8586,K8672,,,G8663,,,,,,,,,,,,,
